track_id;popularity;duration_ms;explicit;danceability;energy;tempo
04qDUASuSfVp6fktfsxVej;68;233728;FALSO;461;522;157768
3g61xRaqII8q1wlQDzv550;62;216612;FALSO;483;506;87337
3dglCYsVMjPbDlU2CC9Vq7;53;245186;FALSO;392;423;113537
2f4jlGvGi3ZDGogXys5FUp;44;219613;FALSO;42;2;87248
3NCg46FWgnANZc9HQHQOQR;57;248960;FALSO;657;716;93924
0muntSMuAZzcwYBBMZj6sf;52;252466;FALSO;495;185;10189
4bXoVtbp6fN8FaSQvGQB41;53;246613;FALSO;55;499;86966
3FRARAKLpHw3er9ZaTwaHO;53;198786;FALSO;534;359;131804
2Dzhwe90lhHXVU6lk7Nx0H;55;226640;FALSO;378;52;73744
12niARgkwxGsklcEwh6GlG;66;203869;FALSO;606;349;80071
5wQci5VCUjdbKnRD61XYwu;60;261640;FALSO;577;446;81005
0HQnJee8ShSDu2AYwibxst;38;211933;FALSO;59;407;145852
4VoJCUgNmnqG2qF0peDBkw;67;218800;FALSO;538;315;91921
1bhpBRCLsVg3p7BWARbaDS;60;156453;FALSO;401;58;173277
6NSlOEEtWlqvEFrjQsry77;64;165133;FALSO;502;311;107612
1HqVCK9h4LiJ61aRrrKTAt;0;216626;FALSO;678;612;118381
0wP19iM8ULJyV0r0LFDsDv;0;251426;FALSO;65;406;79642
27Fq4XyOkogdGLcfsVdjFb;0;209293;FALSO;649;399;97498
45jGOHwYKgsRYbAJ8DR61d;61;308146;FALSO;523;445;78957
4iObEYRE4FLm0D90gmZFef;50;221170;FALSO;538;162;94981
3akr0ZrJxLMBLIFeNNKffW;47;330786;FALSO;519;429;129491
7BRwh1bemr9rFMDeTbcy5S;58;234135;FALSO;585;103;133057
3rzRo91l4htQvMXhsiECAX;30;173250;FALSO;578;763;96808
0v1vufjir4OE4iRckLMoLd;52;336619;FALSO;223;891;159888
4vAnqYqm1DOo5IDVcxORX3;55;144830;FALSO;382;157;13611
2X5AFygz5SDYlXagyPw8kX;67;221538;FALSO;642;374;129863
13GvSZgg9LOs3M9uGbWsPE;45;192972;FALSO;436;239;73761
4cR4nao0hqqBtklQmGVqbe;56;278640;FALSO;702;326;79904
4x7AdVDV9IFWp8pg4LMz90;37;212864;FALSO;593;292;111121
5eNYumDY5PCXtKKJ0SWg2r;54;219466;FALSO;285;186;153848
7aohwSiTDju51QmC54AUba;63;148400;FALSO;698;285;135027
7g3ryXLtXExZ0OFCj17Ae1;58;244800;FALSO;601;439;99976
5auMzVHFr5Zfw6IbKarZ56;65;279826;FALSO;386;452;169837
63bmIgH9sS6sX5Sc7MetGq;69;244067;FALSO;62;668;118013
14BMBNRzv24eG6OKoIgPfP;39;207677;FALSO;59;552;155101
5pEmeoMUW38w1oU3kPelvR;54;265506;FALSO;539;717;117973
2h3VsZVKQeT0yLNQtCIRjn;44;188494;FALSO;543;138;11565
1dcNEEtODRVZEevQ20Cgmy;70;210354;FALSO;62;547;98032
6huS9u0BDfeQHq0lObNLPl;64;200706;FALSO;761;311;109891
14NiShC5b46yQxBN1mu9VJ;40;199256;FALSO;674;122;130014
3DyhwZyBFedvnt68fMi6vf;47;205666;FALSO;429;358;134279
5e9DrLUUZraUE7mmniufjn;55;240952;FALSO;647;567;125871
2z3HKlpENvfz1Am2MNF2pL;57;199594;FALSO;322;213;160389
33JX2be3eKVhl5xk8YQhVc;48;317280;FALSO;482;381;81712
29Ns3avs48iQhNQgrHMEkm;54;231965;FALSO;393;207;16399
2XDxQ3VzovLzh60zgOaNEi;53;200800;FALSO;423;207;149664
0J4sK2VO75cRSVoj0FokQn;60;261665;FALSO;522;152;144055
7bpR5j22mNID1pXwgRcZP1;54;231605;FALSO;547;313;133737
1U1GtaJeYwGsPgqV9Me5bb;62;306200;FALSO;504;321;170134
34p2uL1CvmaHn3uLfOKt8d;51;224847;FALSO;466;161;139167
2EKxmYmUdAVXlaHCnnW13o;61;250063;FALSO;619;28;129948
1jkBuvWI9IGEz9thXiKOlP;51;201933;FALSO;596;429;148086
7K36drJq6lInkW6Kkojucp;63;158013;FALSO;645;169;167826
4PuUa8e5s7P3Zv1IdCGIsa;65;296386;FALSO;522;256;76349
72SPsHheqN6J3sI520jT9E;64;160453;FALSO;681;168;128615
52J3WARiRHMtXbFXUWrVgu;57;182442;FALSO;736;364;110023
03VNgdCL9t8aPyvwZecglI;54;181360;FALSO;451;528;13928
3M6NL7PxIDZ3ArfPrBUTUP;37;169318;VERDADERO;371;674;87603
7jJH8F3PHlNvxfqEAAfFDl;63;218573;FALSO;731;572;154038
6JNEDSev5Tp5VQR04SEBfV;53;149160;FALSO;69;334;74721
1gRa1tyGV1GY60QgU5DkQH;0;183293;FALSO;594;307;94026
5DUAKXpyv3nL50PnAQbPS0;36;169266;VERDADERO;608;917;117875
6OCsvPU6P84wJ0erggCRv4;0;272640;FALSO;687;494;93269
6hy5eqMQ36KAChR1ZZ05zc;55;176509;FALSO;652;15;104018
4Gcx0DkgBVticyPDpezwg5;57;179886;FALSO;765;241;12395
0fUB9bwvKLRpOB18YZHz5N;54;184200;FALSO;589;249;150096
0I0l2Oo5zjpCEphpDJL0Pm;44;447306;FALSO;588;604;9202
4v0RBzYNzTknP6d0zN2VQb;51;108346;FALSO;735;203;113913
1FQH1FxPwwIj9aKyPBDf9b;42;160768;FALSO;655;147;116103
4YgEwanzISFU4xa27saTux;47;304320;FALSO;363;819;122527
7pKMoXeiCv40wbrjII06VO;54;201508;FALSO;473;263;87145
5MYPzdIWgx3pMLRGlq2fVq;73;241132;FALSO;676;768;105999
2Qw1KFrJ1q6qHXxWGh51kC;56;263710;FALSO;41;221;139529
66V40iz2mphPbYvuJVj13i;56;246345;FALSO;439;217;144413
4Bo6FwC7Oe9zywSZc6q7hO;59;257173;FALSO;582;347;97957
6Xbi3gOwMal0Ds3ETvBBwe;57;159012;FALSO;426;127;62535
6QXolVfFVjUHPp5TVzsjIF;56;178546;FALSO;696;261;136053
71ehTADpxs85ULrZgSEKCy;57;268800;FALSO;549;24;11958
4zYkSXrfgJyrNkNv3mTiIZ;51;197850;FALSO;541;192;139938
1nFJAKHt0jgzVogbNJT3Zz;48;222400;FALSO;662;711;119989
1RZkqIEM5aV000fKgz9J46;52;142379;FALSO;665;185;82474
0n3E6m57nDZJDyUHllaMDp;54;194667;FALSO;591;175;139902
2gBYjMXW65daBB1elr68JK;55;212400;FALSO;489;183;79961
1FF6TogE9ELY71XnLPoEv6;41;196304;FALSO;618;83;90865
6G8xunNOicxhPPq9sG2raG;49;230868;FALSO;664;319;105036
6LsHKNorX6fPBNcGxU1jQZ;37;186738;FALSO;408;266;143651
1uxm47Qn1JhUWZHQfcY6w1;52;193536;FALSO;623;132;82105
2nBrIzKacrNdIxs90FlsT1;58;196819;FALSO;494;214;125981
5mdjfBsyzl78NQI4sI4IzR;48;201440;FALSO;374;183;82042
7mQmu0JSoEyYU763IJXhIA;56;204998;FALSO;559;455;159985
08feveJTNL1OMLSrdoHQ6Q;46;219093;FALSO;642;408;11981
4ngv7whSPSAwD8ZP3zMHsd;55;171800;FALSO;48;618;82051
24UxG3p1Ghtc5ejJtGBoeL;54;211624;FALSO;271;937;164721
4yRlTvPVfEyhXfp6GZurq9;57;196240;FALSO;594;695;104977
5xQTEPjGsLuvwnnvyK3fAA;49;199459;FALSO;574;344;147924
3Mq1SOKwAPYgE0ZtPzvWZZ;55;169253;FALSO;647;298;106244
38ssTLOvoZyL4CLa4ImDG9;51;137066;FALSO;486;399;95066
0njuNwIyB3DoBHC0SFUkOr;39;128798;VERDADERO;734;423;123905
5sdliaZjk3rVGuT13UVhxn;60;257972;FALSO;711;231;125062
2Dz5WpEWA0vhnMmEPYiZ2y;60;146066;FALSO;629;174;134295
5w8Cu20Yt1ZNQuVdcafTYC;53;172708;FALSO;615;406;166035
1FHCU1rDAeaPsBW9byjJ0Q;64;246280;FALSO;503;357;136135
0x26yM2rrvtoHGRXXzppx3;34;331984;FALSO;45;183;61192
0Kt5AHOpQAkEsHAuPeB0le;50;216052;FALSO;525;461;147997
07m8PuXxxv5J4qPEDq6ZkK;65;243933;FALSO;555;934;144874
1YjMWOorkBaP4MdKkKtp4y;56;199786;FALSO;678;363;75004
0KF5nzdiqZlxVK68MPITst;57;256933;FALSO;555;452;179921
2fSIF8CJhoc9CJhF9vJDXp;64;250866;FALSO;588;142;119656
6J0bdIZElZMymahgVWRE9B;58;94053;FALSO;724;652;106911
5sVyefkGgQeYCgnqr4KslQ;64;231813;FALSO;567;224;12444
1MGIxsVtqK2npdPmI8Dj0D;35;150047;VERDADERO;544;839;87609
4M4suTUnAYZocl09XEKBZN;36;216773;FALSO;555;68;84518
2C9ePPz58he8jmYEod9pvT;54;145771;FALSO;69;306;115671
4j0xGuo8Z47wfBiVunT6VR;43;279260;FALSO;513;317;84853
0JzOJIS7ktLq5Ux6LtYJuW;49;162963;FALSO;494;152;134178
298xJ2nBaWWS0Je5rtlSxT;55;166189;FALSO;634;267;143514
33SH8ZC36EzoRstHbaFE72;54;244188;FALSO;694;471;95003
18PrtmAcNMgZNy1edWuXGb;55;165067;FALSO;643;11;101995
4CU3t2c3TIpmzX44P1VCFi;39;208571;FALSO;422;41;83952
0dnRlO7IDzbN9ixVld7hz6;51;189240;FALSO;543;288;95435
1XW1lKfocLOAUdp8rUQoNC;52;182553;FALSO;332;282;187057
1TZBg0IBHvqfSAlHvVd8eH;56;183093;FALSO;43;121;91211
5j5OayPyUCnJSK0RynvqgK;48;243724;FALSO;432;197;163985
0Pi3Ua6fJV1Yx5MGXhfybT;40;209554;FALSO;733;297;103953
0c99BUd87HQfzgUUQqRyds;57;198403;FALSO;394;249;79549
7JRJOLKHz88pR0YS4pVCao;53;67746;FALSO;41;234;9372
0xlyMQ56pZAoGuLCs7GH90;30;129032;FALSO;48;158;86107
5dH4xnErpUOIDrGySWGkfJ;49;218004;FALSO;255;625;84611
2Sg5gtKvSiRf7TBjI0ObF2;26;222911;FALSO;524;328;99941
2AHZHeLTPuGILKyr4l8uTU;53;206693;FALSO;464;653;162196
3JKLrIrHpbHtDU1oeYtbYD;52;246979;FALSO;659;331;10501
2CsHDQ1WFLQBBpIEuLcL3z;51;282950;FALSO;592;49;99994
24Gm1mIhO28NmgT17S95JE;35;222626;FALSO;467;851;93873
6j9kSGlYLZdZ9sZkY9DjzY;54;219692;FALSO;564;391;13003
2UJy2HHo4afrQbI5FizxLM;50;170786;FALSO;498;384;79856
7HSk4yGZxfjOkHyOvZrBQZ;53;70133;FALSO;386;428;172311
2Jhx81CSHw8xWwBqRM2mZR;48;200346;FALSO;702;259;120102
5P6ZBMWS66FVo6deJaDdHy;49;229653;FALSO;747;265;138017
5SgFX13gtlQfsNUpoPshwD;35;354213;FALSO;522;498;145908
7vu53hQrIoH7UGeh6qcct1;60;183969;FALSO;715;438;8107
2KsdoMZsL2ajnjjYUWm1ZT;52;192545;FALSO;354;415;175537
4NxUuupOGPquDhy1yFIZK3;59;193695;FALSO;687;748;88944
0avtLG17MT8kDf9xc67Niv;50;205800;FALSO;588;914;128553
6jI7y83WjuyBne9b3IvdSs;49;272612;FALSO;456;205;117663
0ngtyvPUKR4YTtkVKvZP02;54;211240;FALSO;512;248;109692
5PoaNLRYLL7rywHSPUOZs8;52;204293;FALSO;582;282;118019
6DwgZO7AMYelPFwr8WPhpg;46;252386;FALSO;568;18;112033
5X3w2MfxgMTZkn2mTPQs0u;62;203253;FALSO;71;271;13188
5PCwedwyeLZQ6xAUIKbwos;32;291332;FALSO;574;704;117086
32kyGOJpEOTFKR9wvPSsxJ;33;172373;FALSO;64;895;115941
0ifc4mq2mVNefgQFmtXQpt;58;161328;FALSO;669;854;120035
2gJ3ZOaiWr3jGHwevufOxr;57;220306;FALSO;615;358;14606
