track_id;key;loudness;mode;speechiness;acoousticness;liveness;valence;time_signature
7njTGO45SkaBTNu35t2Yq0;7;-5472;1;264;666;228;613;4
6ivkBaxvclVhwZDE2uwldj;0;-8447;1;34;761;118;217;4
6Cvti10W0AzmzG9D1tpuKp;11;-11349;1;295;907;11;323;4
5RO0MNa5hBKIM4OcjygadU;6;-14007;0;59;969;111;557;4
1esE8j1nVyzEQ5rVhYXoJT;7;-6271;0;339;182;144;249;4
68Yc9ylRZZPtsuVgtrxcDj;0;-5495;1;327;11;258;563;4
3tjjCCdXSdaVEo4q4y071G;11;-9215;1;336;855;108;235;4
3tob5ofeuvFKKSbOTldenC;1;-13974;1;303;966;113;279;4
4E6cwWJWZw2zWf7VFbH7wf;2;-3142;0;301;208;188;573;4
3uAdZpIbMTtVXitHVibLMV;2;-13457;1;388;858;129;376;4
2LC523tbEPFpc1pnikbt5b;6;-8373;0;323;287;42;398;4
3ISLwA96mtx13Wx7K1PPPk;0;-17721;1;487;851;171;338;4
7Ca2CkwSqHyr3eCh8IRdjz;5;-12049;0;61;986;106;471;4
6ql0ffq6Jvyh9OKqrJCMaP;0;-7849;0;265;52;108;568;4
1EyvonxK8OGHRV4WDRdArc;10;-9374;1;335;931;1;217;4
0EKBV6GybPtALXUgWqWrym;11;-8253;1;26;325;109;177;4
41A82PidFKhGX5hm1WoaDs;2;-9003;1;268;969;922;233;4
5oV8bZaShr2d01FFMHBUPq;6;-15571;1;436;841;111;179;3
5nMRpGfqQ0tb1TMbqBVK2J;10;-9696;1;401;914;121;355;4
04qDUASuSfVp6fktfsxVej;11;-7513;1;43;36;123;446;4
3g61xRaqII8q1wlQDzv550;9;-6058;1;347;394;946;705;4
3dglCYsVMjPbDlU2CC9Vq7;7;-7813;1;348;27;117;288;4
2f4jlGvGi3ZDGogXys5FUp;7;-18827;1;492;929;758;164;4
3NCg46FWgnANZc9HQHQOQR;2;-5675;1;301;14;483;435;4
0muntSMuAZzcwYBBMZj6sf;9;-13824;1;288;692;109;196;4
4bXoVtbp6fN8FaSQvGQB41;4;-9502;1;338;472;798;144;1
3FRARAKLpHw3er9ZaTwaHO;0;-9311;1;296;449;331;267;4
